ALB ,BSG 
BMP5 ,CHRDL2
FZD9 ,WNT7A 
AIP ,EGFR 
AIP ,AHR 
AIP ,ECHDC1 
CCL24 ,CCR3 
MASP2 ,C2 
MASP2 ,C4A 
MASP2 ,MBL2 
MASP2 ,MASP1 
MASP2 ,FCN2 
MASP2,FCN1 
MASP2,FCN3
MASP2,MBL2 
MASP2,MASP1
TLR4 ,EGFR 
TLR4 ,CD14 
TLR4 ,HSP90B1 
TLR4 ,F2RL1 
TLR4 ,TLR1 
TLR4 ,LY96
TNFRSF10A ,TNFRSF10B 
TNFRSF10A ,TNFRSF10B
TNFRSF10A ,TNFSF10 
CORT ,SSTR3 
CORT ,SSTR5 
CORT ,MRGPRX2 
BMPR1B ,GDF9 
BMPR1B ,BMP15 
BMPR1B ,BMP4 
BMPR1B ,BMP6 
BMPR1B ,ACVR2A 
BMPR1B ,BMPR1A 
BMPR1B ,TGFBR1 
BMPR1B ,TGFBR1
BMPR1B ,BMPR2 
BMPR1B ,AMHR2 
BMPR1B ,GDF6 
F2RL2 ,F2 
F2RL2 ,CTSG 
F2RL2 ,CDH5 
F2RL2 ,JAM3
GET1 ,ABCC9
GET1 ,PPARA
TNFRSF11B ,TNFSF11 
TNFRSF11B ,TNFSF12 
TNFRSF11B ,TNFSF13
TNFRSF11B ,THBS1 
TNFRSF11B ,TNFSF10 
MATN2 ,COL1A1 
MATN2 ,NID1 
MATN2,COL1A1 
MATN2,COL4A1 
MATN2,NID1 
MATN2,LAMA1 
MATN2,COL4A5 
MATN2,FBN2 
MATN2,COL4A3
MATN2,COL4A6
AGRN ,CACNA1A 
NR5A2 ,NR0B2 
LAD1 ,LSR 
LAD1 ,COL17A1 
DLL1 ,MFNG 
DLL1 ,ADAM10 
DLL1 ,NOTCH1 
DLL1 ,NOTCH2 
DLL1 ,DLL4 
DLL1 ,DLL3 
DLL1 ,NOTCH3 
CACNA1A ,PLPP3 
CACNA1A ,EPHB6 
CACNA1A ,VWF 
CACNA1A ,TNFRSF8 
CACNA1A ,NOTCH1 
CACNA1A ,LPAR4 
CACNA1A ,C1QTNF1 
CACNA1A ,LPAR2 
CACNA1A ,WNT16 
EBAG9 ,CALU 
EBAG9 ,NR4A1 
EBAG9 ,HMGB2 
EBAG9 ,PPARG 
EBAG9 ,FGF12 
CCL21 ,ACKR2 
CCL21 ,IGFBP7 
MFNG ,NOTCH1 
ACKR2 ,CCL7 
ACKR2 ,CCL14 
FCN1 ,TGFB1 
FCN1 ,ELN 
FCN1 ,ELN
FCN1 ,MASP1 
FCN1 ,MASP1
CCN1 ,CALU 
CCN1 ,SLIT2 
CCN1 ,ITGB1 
CCN1 ,ITGAV 
CCN1 ,ITGA6 
CCN1 ,PPT1 
CCN1 ,C1QBP 
CCL22 ,VCAM1 
CCL22 ,VCAM1
CCL22 ,DPP4 
CCL22 ,CCL19 
NTN3 ,NEO1 
CLDN4 ,SHBG 
PLPP3 ,EPHB6 
PLPP3 ,ITGB3 
PLPP3 ,ITGB1 
PLPP3 ,ITGB1
PLPP3 ,ITGAV 
PLPP3 ,ITGA5 
PLPP3 ,TNFRSF8 
PLPP3 ,LPAR4 
PLPP3 ,LPAR2 
PLPP3 ,WNT16 
NRG2,ERBB3 
NRG2,ERBB4
NCAN ,PTN 
NCAN ,L1CAM 
CXCL11 ,DPP4 
CXCL11 ,CXCR3 
CXCL11 ,CCR3 
TOR1A ,CALU 
TOR1A ,LDLR 
TOR1A ,ALDOA 
TOR1A ,ITGB2 
TOR1A ,P4HB 
TOR1A ,CTSD 
TOR1A ,ANXA2 
TOR1A ,ANXA5 
TOR1A ,CLU 
TOR1A ,ITGA4 
TOR1A ,PKM 
TOR1A ,HSP90B1 
TOR1A ,S100A4 
TOR1A ,CALR 
TOR1A ,SNCA 
TOR1A ,HSPA13 
TOR1A ,LGALS3BP 
TOR1A ,EFEMP1 
TOR1A ,PRDX4 
TOR1A ,P3H1 
TOR1A ,SDF2 
TOR1A ,NAXE 
TOR1A ,SDF4 
TOR1A ,ERP44 
TOR1A ,SDF2L1 
TOR1A ,HYOU1 
ADAM10 ,TFRC 
ADAM10 ,ITGB1 
ADAM10 ,EFNA1
ADAM10 ,CD9 
ADAM10 ,ITGA6 
ADAM10 ,TSPAN14 
RRH ,TGFBR1 
SLC9A3R1 ,EGFR 
SLC9A3R1 ,ADRB2 
SLC9A3R1 ,PDGFRB 
SLC9A3R1 ,PDGFRA 
SLC9A3R1 ,LHCGR 
SLC9A3R1 ,OPRK1 
SLC9A3R1 ,P2RY2 
SLC9A3R1 ,P2RY1 
SLC9A3R1 ,PTH1R 
SLC9A3R1 ,LPAR2 
SLC9A3R1 ,FZD4 
TNFRSF10B ,CALU 
TNFRSF10B ,CRTAP 
TNFRSF10B ,FCER2 
TNFRSF10B ,ANXA5 
TNFRSF10B ,TNFSF10 
TNFRSF10B ,FSTL1 
TNFRSF10B ,SELPLG 
GABRD ,PLSCR1 
NRP1 ,PLXNB1 
NRP1 ,PLXNA2 
NRP1 ,GPC4 
NRP1 ,VEGFA 
NRP1 ,KDR 
NRP1 ,VEGFA 
NRP1 ,VEGFC 
NRP1 ,PLXNA3 
NRP1 ,SEMA3F 
NRP1 ,SEMA3A 
NRP1 ,SEMA6D 
NRP1 ,SEMA3C 
NRP1 ,FBRS 
NRP1 ,PLXNA4 
NRP1 ,PLXNA1 
NRP1 ,PLXND1 
TNFSF11,MMP1 
TNFSF11,MMP3 
TNFSF11,MMP7 
TNFSF11,TNFRSF11A 
TNFRSF10C ,APOA1 
TNFRSF10C ,TNFSF10 
TSPAN4 ,CD46 
TNFRSF13B ,TNFSF12 
TNFRSF13B ,TRAF2 
TNFRSF13B ,TNFSF13B 
CASK ,ALB 
CASK ,F7 
CASK ,DLG1 
CASK ,ERP44 
CASK,DLG1
CASK,SDC4 
CASK,DLG1 
CASK,CADM1
CASK,NRXN2
CASK,NRXN1
EREG ,ERBB4
PLXNB2 ,LAMA5 
PLXNB2 ,CRTAP 
PLXNB2 ,A2M 
PLXNB2 ,PIGR 
PLXNB2 ,TFRC 
PLXNB2 ,ITGB1 
PLXNB2 ,ITGAV 
PLXNB2 ,CTSD 
PLXNB2 ,PSAP 
PLXNB2 ,GUSB 
PLXNB2 ,ITGA5 
PLXNB2 ,CLU 
PLXNB2 ,LAMC1 
PLXNB2 ,IGF2R 
PLXNB2 ,FOLR1 
PLXNB2 ,CD44 
PLXNB2 ,M6PR 
PLXNB2 ,COL5A1 
PLXNB2 ,ITGA3 
PLXNB2 ,L1CAM 
PLXNB2 ,FBN1 
PLXNB2 ,BSG 
PLXNB2 ,BTD 
PLXNB2 ,HSPA13 
PLXNB2 ,PPT1 
PLXNB2 ,ATP1B3 
PLXNB2 ,LGALS3BP 
PLXNB2 ,P3H1 
PLXNB2 ,TREML2 
PLXNB2 ,CD276 
PLXNB2 ,SCARB1 
PLXNB2 ,TSPEAR 
PLXNB2 ,SIAE 
PLXNB2 ,PCYOX1 
PLXNB2 ,DPP7 
PLXNB2 ,HYOU1 
ANGPT2 ,CALU 
ANGPT2 ,GPC4 
ANGPT2 ,ALB 
ANGPT2 ,ALDOA 
ANGPT2 ,ANXA2 
ANGPT2 ,THBS1 
ANGPT2 ,MAG 
ANGPT2 ,MSR1 
ANGPT2 ,DCD 
ANGPT2 ,ANKAR 
ANGPT2 ,CRISPLD2 
ANGPT2 ,ITGA11 
NPFF ,NPFFR1 
MUSK ,COLQ
PLSCR1 ,TM7SF2 
PLSCR1 ,EGFR 
PLSCR1 ,HRG 
PLSCR1 ,CXCL3 
PLSCR1 ,FBLN1 
PLSCR1 ,VCP 
PLSCR1 ,NPC2 
PLSCR1 ,PRDX4 
PLSCR1 ,NECTIN2 
PLSCR1 ,PLSCR4 
PLSCR1 ,UGGT1 
PLSCR1 ,STOML2 
EPHB6 ,TNFRSF8 
EPHB6 ,EFNB2 
EPHB6 ,EPHB1 
EPHB6 ,LPAR4 
EPHB6 ,LPAR2 
EPHB6 ,WNT16 
GPR182 ,ADM 
LAMA5 ,CRTAP 
LAMA5 ,A2M 
LAMA5 ,PIGR 
LAMA5 ,TFRC 
LAMA5 ,ITGB1 
LAMA5 ,ITGAV 
LAMA5 ,CTSD 
LAMA5 ,PSAP 
LAMA5 ,LAMB1 
LAMA5 ,GUSB 
LAMA5 ,ITGA5 
LAMA5 ,CLU 
LAMA5 ,LAMC1 
LAMA5 ,IGF2R 
LAMA5 ,FOLR1 
LAMA5 ,CD44 
LAMA5 ,ITGB4 
LAMA5 ,ITGB4
LAMA5 ,M6PR 
LAMA5 ,COL5A1 
LAMA5 ,ITGA6 
LAMA5 ,ITGA6
LAMA5 ,ITGA3 
LAMA5 ,L1CAM 
LAMA5 ,FBN1 
LAMA5 ,BSG 
LAMA5 ,BTD 
LAMA5 ,HSPA13 
LAMA5 ,BCAM 
LAMA5 ,PPT1 
LAMA5 ,ATP1B3 
LAMA5 ,LAMB2 
LAMA5 ,LGALS3BP 
LAMA5 ,LAMC2 
LAMA5 ,P3H1 
LAMA5 ,TREML2 
LAMA5 ,CD276 
LAMA5 ,SV2A 
LAMA5 ,SCARB1 
LAMA5 ,TSPEAR 
LAMA5 ,SIAE 
LAMA5 ,PCYOX1 
LAMA5 ,DPP7 
LAMA5 ,HYOU1 
LAMA5 ,LAMC3 
DEFB4A ,MMP7 
DEFB4A ,CCR2 
DEFB4A ,CCR6 
CHAD ,ITGB1 
CHAD ,ITGB1
CHAD ,ITGA2 
GRIN2D ,CDH2 
GRIN2D ,IL16
MPPED1 ,NR2F1 
MPPED1 ,ANXA7 
CCL25 ,CCR10 
CCL25 ,CCR9 
CCL25 ,CCR9
CCL16 ,CCR1 
CCL16 ,CCR2 
CCL16 ,CCR2
CCL16 ,CCR5 
CCL16 ,CCR8 
PLA2G10 ,PLA2R1 
PLA2G10 ,PLA2R1
DAG1 ,LAMA2 
DAG1 ,LAMA4 
FLRT2 ,FLRT1 
MLNR ,MLN
TGFB1I1 ,ITGB1 
TGFB1I1 ,ITGA4 
TGFB1I1 ,SDC4 
TGFB1I1 ,PLA2G3 
TGFB1I1 ,CD84 
TGFB1I1,SDC4 
COCH ,COL1A1 
GRID2 ,GRIK5 
KIR3DS1 ,TYROBP
TNFSF12 ,TNFRSF17 
TNFSF12 ,TRAF2 
TNFSF12 ,TNFRSF14 
TNFSF14 ,TNFRSF6B 
TNFSF14 ,LTB 
TNFSF14 ,TNFRSF14 
TNFSF14,LTB 
TNFSF14,TRAF2 
TNFSF14,TNFRSF14 
GALR2 ,GAL 
HCRT ,HLA-DQA1 
HCRT ,HLA-DQB1 
HCRT ,HLA-DQB1 
HCRTR1 ,CNR1 
CALU ,GPC4 
CALU ,CRTAP 
CALU ,LDLR 
CALU ,AHSG 
CALU ,ALB 
CALU ,TFRC 
CALU ,ALDOA 
CALU ,ANXA1 
CALU ,ITGB2 
CALU ,ITGB1 
CALU ,S100A9 
CALU ,FCER2 
CALU ,P4HB 
CALU ,ANXA2 
CALU ,THBS1 
CALU ,ANXA5 
CALU ,TACSTD2 
CALU ,ITGA4 
CALU ,PKM 
CALU ,HSP90B1 
CALU ,CD44 
CALU ,ITGB4 
CALU ,ITGA2 
CALU ,MAG 
CALU ,MSR1 
CALU ,NR4A1 
CALU ,HMGB2 
CALU ,CALR 
CALU ,PRDX5 
CALU ,S100A7 
CALU ,BSG 
CALU ,PPARG 
CALU ,HSPA13 
CALU ,FGF12 
CALU ,DCD 
CALU ,RUNX1 
CALU ,C1QBP 
CALU ,EFEMP1 
CALU ,FSTL1 
CALU ,SELPLG 
CALU ,HSD17B12 
CALU ,SDF2 
CALU ,ANKAR 
CALU ,MYDGF 
CALU ,SDF4 
CALU ,ERP44 
CALU ,CRISPLD2 
CALU ,SDF2L1 
CALU ,TFIP11 
CALU ,ITGA11 
CALU ,SMC3 
CALU ,HYOU1 
TYROBP ,NCR2 
TYROBP ,TREM2 
TYROBP,NCR2 
TYROBP,KLRD1
VEGFD ,NRP2 
VEGFD ,ITGB1 
VEGFD ,ITGB1
VEGFD ,FLT4 
VEGFD ,FLT4
VEGFD ,KDR 
VEGFD ,ITGA9 
EFNA2 ,EPHA3
EFNA2 ,KIR3DL1 
EFNA2 ,EPHA4 
CXCL13 ,FGF2 
CXCL13 ,CXCR5
CXCL13 ,CCR10 
CXCL13 ,CXCR3 
CXCL13 ,CCL19 
FGF17 ,FGFR1
FGF17 ,FGFR2
GDF9 ,BMP15 
GDF9 ,ANXA7 
GDF9 ,ACVR2A 
GDF9 ,BMPR2 
GRIN3B ,GRIN2A
NRP2 ,FLT4 
NRP2 ,PGF 
NRP2 ,VEGFC 
NRP2 ,SEMA3F 
NRP2 ,PLXNA1 
PLXNC1 ,SEMA7A 
CUBN ,ALB 
CUBN ,GC
CUBN ,SCGB1A1 
CUBN ,CBLIF 
CUBN ,LRP1 
PSPN ,RET
PSPN ,GFRA4
IL12A ,CXCL8 
IL12A ,IL12B 
IL12A ,IL12RB1 
IL12A ,EBI3 
IL12A ,IL12RB2 
TLR2 ,EGFR 
TLR2 ,CD14 
TLR2 ,HMGB1 
TLR2 ,HSP90B1 
TLR2 ,CXCR4 
TLR2 ,TLR1 
TLR2 ,SFTPA1 
TLR2 ,TLR6 
TLR2 ,LY96
SRPX2 ,PLAUR
ABCC9,PPARA
SNX2 ,EGFR 
SNX2 ,TFRC 
SNX2 ,INSR 
SNX2 ,MET 
SNX2 ,PDGFRA 
SNX2 ,ACVR1B
SNX2 ,LEPR 
SNX2 ,ACVR2B 
CUTA ,AGR2 
CUTA ,ALDOA 
CUTA ,ANXA2 
CUTA ,CTSB 
CUTA ,NR4A1 
CUTA ,SERPINF1 
CUTA ,PTGDS 
CUTA ,MUC2 
CUTA ,PTPRH 
CUTA ,IL20RA 
CUTA ,FCGBP 
RAMP1 ,RAMP2 
RAMP1 ,CRCP
RAMP1 ,CALCA 
RAMP1 ,VIPR1 
RAMP1 ,CALCRL 
RAMP2 ,CRCP
RAMP2 ,ADM 
ADAM23 ,ITGB3 
ADAM23 ,ITGAV 
ADAM11 ,STC2 
FZD7 ,WNT3 
SLIT1 ,GPC1 
SLIT1 ,ROBO1 
SLIT1 ,ROBO1
MEGF6 ,EGFR 
MEGF6 ,MFAP5 
MEGF6 ,CRIM1 
ADAMTS4 ,SERPINA3 
ADAMTS4 ,TIMP3 
ADAMTS4 ,BCAN
LRP5 ,THBS1 
LRP5 ,NDP 
LRP5 ,FZD4 
CILP ,TGFB1 
CILP ,THBS1 
NR1I2 ,RXRB 
NR1I2 ,RXRA 
NR1I2 ,SDF4 
NR1I2,RXRB 
GPC4 ,ALB 
GPC4 ,ALDOA 
GPC4 ,ANXA1 
GPC4 ,S100A8 
GPC4 ,ANXA2 
GPC4 ,THBS1 
GPC4 ,RPSA 
GPC4 ,FGF2 
GPC4 ,MAG 
GPC4 ,MSR1 
GPC4 ,ENPP1 
GPC4 ,COL18A1 
GPC4 ,HNRNPM 
GPC4 ,DCD 
GPC4 ,C1QBP 
GPC4 ,TMED1 
GPC4 ,MAMDC2 
GPC4 ,ANKAR 
GPC4 ,GLG1 
GPC4 ,CRISPLD2 
GPC4 ,FBRS 
GPC4 ,EMILIN3 
GPC4 ,ITGA11 
LRP6 ,WNT3A 
LRP6 ,ANTXR2 
LRP6 ,ANTXR2
LRP6 ,FZD5 
LRP6 ,ANTXR1
LRP6 ,DKK2 
LRP6 ,ZNRF3 
FCN3,MASP1
CRTAP ,A2M 
CRTAP ,PIGR 
CRTAP ,TFRC 
CRTAP ,ITGB1 
CRTAP ,FCER2 
CRTAP ,ITGAV 
CRTAP ,CTSD 
CRTAP ,PSAP 
CRTAP ,GUSB 
CRTAP ,ITGA5 
CRTAP ,ANXA5 
CRTAP ,CLU 
CRTAP ,LAMC1 
CRTAP ,IGF2R 
CRTAP ,FOLR1 
CRTAP ,CD44 
CRTAP ,M6PR 
CRTAP ,COL5A1 
CRTAP ,ITGA3 
CRTAP ,L1CAM 
CRTAP ,FBN1 
CRTAP ,BSG 
CRTAP ,BTD 
CRTAP ,HSPA13 
CRTAP ,PPT1 
CRTAP ,ATP1B3 
CRTAP ,LGALS3BP 
CRTAP ,FSTL1 
CRTAP ,SELPLG 
CRTAP ,P3H1 
CRTAP ,TREML2 
CRTAP ,CD276 
CRTAP ,SCARB1 
CRTAP ,TSPEAR 
CRTAP ,SIAE 
CRTAP ,PCYOX1 
CRTAP ,DPP7 
CRTAP ,HYOU1 
ATP6AP2 ,S100A7 
CNMD ,APOA1 
CNMD ,FGA 
CNMD ,C1QA 
CNMD ,C1QC 
CNMD ,FN1 
CNMD ,KRT1 
CNMD ,CTSL 
CNMD ,CLU 
CNMD ,IL4R 
CNMD ,MFGE8 
CNMD ,XYLT1 
CNMD ,NAV2 
CNMD ,SMPDL3A 
CNMD ,ERBIN 
CNMD ,ROBO2 
CNMD ,NRXN3 
CNMD,APOA1 
CNMD,C1QA 
CNMD,C1QC 
CNMD,KRT1 
CNMD,CTSL 
CNMD,CLU 
CNMD,SMPDL3A 
TNFSF13 ,TNFRSF14 
TNFSF13,TNFRSF17 
NCR1 ,CD247 
NCR1 ,FCER1G 
NCR1,FCER1G 
STC2 ,PTN 
CCN5 ,IGF1
FGF18 ,FGFR1
CNTN5 ,APLP1 
SLIT2 ,GPC1 
SLIT2 ,PPT1 
SLIT2 ,C1QBP 
SLIT2 ,ROBO2 
SLIT2 ,ROBO1 
SLIT2 ,ROBO1
NXPH2 ,NRXN1
NXPH3 ,NRXN1
UNC5C ,NTN1 
UNC5C,NTN1 
IL18RAP ,CD48 
IL18RAP ,IL18 
KCNH1 ,S100B 
KCNH1,KCNH5
CCN4,TGFBR1
GDF11 ,ACVR1B
GDF11 ,TGFBR1
GDF11 ,ACVR2B 
GDF11 ,ACVR1C
GDF11 ,WFIKKN1 
UTS2 ,UTS2R 
ABCA1 ,APOA1 
ABCA1 ,PLTP
ABCA1 ,ERBIN 
NPTXR ,NPTX2 
NPTXR ,NPTX1 
NTN1 ,DCC 
NTN1 ,NEO1 
LY86 ,LY96
FGF19 ,FGFR1 
FGF19 ,TRAF2 
IL33 ,ELANE 
IL33 ,CTSG 
IL33 ,IL1RL1 
IL33 ,IL1RAP 
GLP2R ,GCG 
OLFM2 ,PKM 
OLFM2 ,PKM
OLFM2 ,ROBO2 
EFEMP2 ,ELN 
EFEMP2 ,FBN1 
EFEMP2 ,LINGO1 
EFEMP2 ,PLSCR4 
EFEMP2 ,FBLN5 
EFEMP2 ,GNPTG 
LGI1 ,ADAM22
AGR2 ,ALDOA 
AGR2 ,ANXA2 
AGR2 ,CTSB 
AGR2 ,SERPINF1 
AGR2 ,PTGDS 
AGR2 ,MUC2 
AGR2 ,PTPRH 
AGR2 ,IL20RA 
AGR2 ,FCGBP 
SOD1 ,THNSL2 
SOD1 ,RDH8 
F8 ,VWF 
PNP ,TFRC 
PNP ,ALDOA 
PNP ,ANXA1 
PNP ,KRT1 
PNP ,ITGB1 
PNP ,ANXA2 
PNP ,HSP90AA1
PNP ,LGALS1 
PNP ,HMGB1 
PNP ,ITGA4 
PNP ,PKM 
PNP ,VCAM1 
PNP ,AP2M1 
EGFR ,EGF 
EGFR ,TGFA 
EGFR ,FN1 
EGFR ,TFRC 
EGFR ,ANXA1 
EGFR ,APOB 
EGFR ,KRT1 
EGFR ,ERBB2 
EGFR ,ERBB2
EGFR ,ITGB3 
EGFR ,S100A8 
EGFR ,ICAM1 
EGFR ,GSN 
EGFR ,S100A9 
EGFR ,ITGAV 
EGFR ,ANXA2 
EGFR ,PTPRC 
EGFR ,MET 
EGFR ,PTPRF 
EGFR ,CDH1 
EGFR ,PKM 
EGFR ,HSP90B1 
EGFR ,AREG 
EGFR ,ITGB4 
EGFR ,LGALS3 
EGFR ,PTPRA 
EGFR ,ERBB3 
EGFR ,PTPRD 
EGFR ,GRK2 
EGFR ,EPHA2 
EGFR ,AGTR1 
EGFR ,PRSS3 
EGFR ,PTGDS 
EGFR ,MASP1 
EGFR ,MMP14 
EGFR ,HNRNPM
EGFR ,EPHB4 
EGFR ,B2M 
EGFR ,EFNB1 
EGFR ,ROR1 
EGFR ,DST 
EGFR ,PTPRJ 
EGFR ,PTPRS
EGFR ,ALCAM 
EGFR ,ITPR3 
EGFR ,PON2 
EGFR ,ERBB4
EGFR ,HTRA1 
EGFR ,NELL1 
EGFR ,AP2M1 
EGFR ,SERAC1 
EGFR ,HBEGF 
EGFR ,OLFM1 
EGFR ,S100A14 
EGFR ,TAOK2 
EGFR ,COL17A1 
DNASE1 ,GSN 
F2 ,SERPINC1 
F2 ,APOA1 
F2 ,APOE 
F2 ,APOA2 
F2 ,FGA 
F2 ,FN1 
F2 ,AMBP 
F2 ,AHSG 
F2 ,ALB 
F2 ,F11 
F2 ,KRT1 
F2 ,SERPIND1 
F2 ,PRSS1 
F2 ,THBS1 
F2 ,F5 
F2 ,ITGA2 
F2 ,DCC 
F2 ,C1QBP 
F2 ,SLC1A5 
F2 ,F2RL3 
F2 ,HGF 
C1R ,C1QA 
C1R ,C1QB 
C1R ,PTX3 
HP ,PIGR 
HP ,APOA1 
HP ,APOE 
HP ,FGA 
HP ,FGB 
HP ,FN1 
HP ,ALB 
HP ,TF 
HP ,KRT1 
HP ,ITGB2 
HP ,S100A8 
HP ,KLK3 
HP ,CTSL 
HP ,F7 
HP ,ITGAM 
HP ,ADRA1B 
HP ,CDSN 
HP ,CD163 
HP ,OR2T6 
HP ,OR8D2 
HP ,GABBR1 
HP ,LAMC3 
HPR ,APOA1 
F9 ,SERPINC1 
F9 ,LRP1 
F10 ,PLG 
F10 ,PLAT 
F10 ,APOH 
F10 ,SERPINA5 
F10 ,F7 
F10 ,F7
F10 ,TFPI 
F10 ,TFPI
F10 ,F5 
F10 ,F3 
F10 ,F3
CFD ,CFB 
CFD ,CST3 
CFD ,APOA1 
CFD ,APOE 
CFD ,APOA2 
CFD ,APOC2 
CFD ,FGA 
CFD ,FN1 
CFD ,AHSG 
CFD ,ALB 
CFD ,PPBP 
CFD ,HPX 
CFD ,KRT1 
CFD ,GSN 
CFD ,KLK3 
CFD ,CTSL 
CFD ,CFH 
CFD ,SERPINF2 
CFD ,F7 
CFD ,F7
CFD ,C4A 
CFD ,PF4V1 
CFD ,ITIH1 
CFD ,PRSS3 
CFD ,ADRA1B 
CFD ,OR3A2 
CFD ,DCD 
CFD ,SLC1A5
CFD ,OR2T6 
CFD ,RYR2 
CFD ,OR8D2 
PLG ,KNG1
PLG ,NGF 
PLG ,APOA1 
PLG ,FGA 
PLG ,FN1 
PLG ,ALB 
PLG ,TF 
PLG ,HRG 
PLG ,KRT1 
PLG ,SERPINE1 
PLG ,SERPIND1 
PLG ,KLK3 
PLG ,ANXA2 
PLG ,CTSL 
PLG ,THBS1 
PLG ,SERPINF2 
PLG ,CLU 
PLG ,F3
PLG ,IGFBP3 
PLG ,CXCL2 
PLG ,LAMA1 
PLG ,PRSS3 
PLG ,TGM4 
PLG ,F2RL1 
PLG ,GDF10 
PLG ,LAMA3
PLG ,SERPINI1 
F12 ,KNG1 
F12 ,C1QBP 
PLAU ,PLAT 
PLAU ,SERPINE1 
PLAU ,NID1 
PLAU ,PLAUR 
PLAU,SERPINE1 
PLAU,SERPINA5 
PLAU,CTSB 
PLAU,SERPINF2 
PLAU,HGF
PLAU,NID1 
PLAU,VLDLR
PLAU,LRP2 
PLAU,PLAUR
PLAT ,FGA 
PLAT ,SERPINE1 
PLAT ,CLEC3B 
PLAT ,ANXA2 
PLAT ,LAMA1 
PLAT ,LRP1 
PLAT ,SERPINI1 
CFB ,C3 
CFB ,CST3 
CFB ,APOA1 
CFB ,APOE 
CFB ,APOA2 
CFB ,APOC2 
CFB ,FGA 
CFB ,FN1 
CFB ,AHSG 
CFB ,ALB 
CFB ,PPBP 
CFB ,HPX 
CFB ,KRT1 
CFB ,GSN 
CFB ,KLK3 
CFB ,CTSL 
CFB ,CFH 
CFB ,F7 
CFB ,F7
CFB ,C4A 
CFB ,C4B 
CFB ,PF4V1 
CFB ,ITIH1 
CFB ,CR2 
CFB ,CFP 
CFB ,PRSS3 
CFB ,ADRA1B 
CFB ,OR3A2 
CFB ,DCD 
CFB ,SLC1A5
CFB ,OR2T6 
CFB ,RYR2 
CFB ,OR8D2 
CFB ,LAMC3 
REN ,CTSB 
REN ,PCSK1 
SPINK1 ,TMPRSS15 
SERPINC1 ,GZMA 
SERPINC1 ,KLK2
SERPINC1 ,C1QBP 
SERPINC1 ,KLK6
SERPINA3 ,MMP1 
SERPINA3 ,ERBB2
SERPINA3 ,APP
SERPINA3 ,KLK3 
SERPINA3 ,CTSG 
SERPINA3 ,F5 
SERPINA3 ,KLK2
SERPINA3 ,CMA1 
SERPINA3 ,CTRL 
SERPINA3 ,GZMM 
SERPINA3 ,LRP1 
SERPINA3 ,CTRC 
SERPINA3 ,KLK4 
SERPINA3 ,LAMC3 
A2M ,NGF 
A2M ,IL1B 
A2M ,PIGR 
A2M ,APOE 
A2M ,AMBP 
A2M ,TFRC 
A2M ,LCAT 
A2M ,APP 
A2M ,APOD 
A2M ,ALPP 
A2M ,ITGB1 
A2M ,ITGAV 
A2M ,KLK3 
A2M ,CTSD 
A2M ,PSAP 
A2M ,CTSB 
A2M ,GUSB 
A2M ,CTSG 
A2M ,ITGA5 
A2M ,RPSA 
A2M ,FGF2 
A2M ,PAEP 
A2M ,CXCL8 
A2M ,CLU 
A2M ,LAMC1 
A2M ,IGF2R 
A2M ,FOLR1 
A2M ,CD44 
A2M ,ANXA7 
A2M ,AZU1 
A2M ,M6PR 
A2M ,COL5A1 
A2M ,IL10 
A2M ,PRTN3 
A2M ,ITGA3 
A2M ,L1CAM 
A2M ,FBN1 
A2M ,BSG 
A2M ,BTD 
A2M ,HSPA13 
A2M ,MASP1 
A2M ,PPT1 
A2M ,ATP1B3 
A2M ,VCP 
A2M ,IL2 
A2M ,B2M 
A2M ,LRP1 
A2M ,LGALS3BP 
A2M ,P3H1 
A2M ,TREML2 
A2M ,CD276 
A2M ,SCARB1 
A2M ,TSPEAR 
A2M ,TNFRSF14 
A2M ,S1PR5 
A2M ,SIAE 
A2M ,ARL8B 
A2M ,PCYOX1 
A2M ,DPP7 
A2M ,HYOU1 
C3 ,C5 
C3 ,APOA1 
C3 ,FN1 
C3 ,GC 
C3 ,GC
C3 ,TFRC 
C3 ,KRT1 
C3 ,ITGB2 
C3 ,CFI 
C3 ,C2 
C3 ,CTSG 
C3 ,RPSA 
C3 ,C1S 
C3 ,C4B 
C3 ,ITGAM 
C3 ,CD46 
C3 ,CD46
C3 ,CR1 
C3 ,CR2 
C3 ,M6PR 
C3 ,ITGAX 
C3 ,LAMA1 
C3 ,PTX3 
C3 ,CFP 
C3 ,BSG 
C3 ,MASP1 
C3 ,HNRNPM 
C3 ,ATP1B3 
C3 ,RUNX1 
C3 ,RUNX1
C3 ,CFHR3 
C3 ,C1QBP 
C3 ,LRP1 
C3 ,PAPPA 
C3 ,SLC1A5 
C3 ,HSD17B12 
C3 ,OLFM4 
C3 ,SV2A 
C3 ,OR5H6 
C3 ,CFHR4 
C3 ,SDF4 
C3 ,C5AR2 
C3 ,PCYOX1 
C3 ,STOML2 
C5 ,C9 
C5 ,C2 
C5 ,C8B 
C5 ,C4B 
C5 ,C7 
C5 ,C6 
C5 ,C5AR1 
TIMP1 ,MMP1 
TIMP1 ,MMP2 
TIMP1 ,MMP9 
TIMP1 ,LRP1 
TIMP1 ,MYOC 
CST3 ,APOA1 
CST3 ,APOE 
CST3 ,APOA2 
CST3 ,APOC2 
CST3 ,FGA 
CST3 ,FN1 
CST3 ,AHSG 
CST3 ,ALB 
CST3 ,PPBP 
CST3 ,HPX 
CST3 ,KRT1 
CST3 ,GSN 
